Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,"Retrograde Transport, Vesicle Recycling Within Golgi (GO:0000301)",7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,COG8;COG7;GOLGA5;COG6;COG5;COG3;COG2
GO_Biological_Process_2023,Tricarboxylic Acid Metabolic Process (GO:0072350),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,GLUD1;IDH3G;IDH1;IDH2;IDH3B;PCK1;IDH3A
GO_Biological_Process_2023,Regulation Of Defense Response (GO:0031347),50/97,0.0070789464891957,0.045869821116849,0,0,1.6834654320885407,8.334214780655731,CELF1;TNC;PTPN22;PARK7;UFL1;CASP8;TMSB4X;DHX58;CASP4;CASP1;GGT1;JAK2;APPL1;AREL1;ANXA1;APLP2;ELMOD2;WNT5A;HCK;PSMA6;SHPK;IRF1;LETMD1;DAGLB;BIRC2;MGLL;PTGES;BIRC3;SEMA7A;GRN;LRRC19;GATA6;SPATA2;XIAP;SAMHD1;RELA;ZMPSTE24;SBNO2;TKFC;NLRP6;APOE;N4BP1;BRD4;ERAP1;NR1D2;BST1;CYLD;PIK3AP1;MYD88;NFE2L2
GO_Biological_Process_2023,N-terminal Protein Amino Acid Acetylation (GO:0006474),11/15,0.0071103872794357,0.045869821116849,0,0,4.34511360702298,21.49179469637397,NAA50;NAA60;KAT2B;LSM8;CREBBP;NAA30;NAA10;NAA20;EP300;NAA35;NAA15
GO_Biological_Process_2023,Anterograde Synaptic Vesicle Transport (GO:0048490),11/15,0.0071103872794357,0.045869821116849,0,0,4.34511360702298,21.49179469637397,BLOC1S4;AP3M1;BLOC1S5;BLOC1S6;SNAPIN;BLOC1S1;BLOC1S2;AP3D1;DTNBP1;AP3S2;AP3S1
GO_Biological_Process_2023,Epiboly Involved In Wound Healing (GO:0090505),11/15,0.0071103872794357,0.045869821116849,0,0,4.34511360702298,21.49179469637397,DDR1;CCNA2;CD151;TOR1A;PDCD10;MRTFA;FLNA;LCP1;RHOC;RHOA;CD44
GO_Biological_Process_2023,Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339),11/15,0.0071103872794357,0.045869821116849,0,0,4.34511360702298,21.49179469637397,YTHDF2;CNOT7;YTHDF3;STAT2;OAS3;MUL1;ISG15;TTLL12;DCST1;SAMHD1;PTPN2
GO_Biological_Process_2023,Positive Regulation Of Glucose Metabolic Process (GO:0010907),11/15,0.0071103872794357,0.045869821116849,0,0,4.34511360702298,21.49179469637397,DDB1;AKT2;AKT1;PMAIP1;IRS2;SIRT7;ARPP19;SIRT1;PPARGC1A;FOXO1;PTPN2
GO_Biological_Process_2023,Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970),11/15,0.0071103872794357,0.045869821116849,0,0,4.34511360702298,21.49179469637397,RB1;CDC20;ANAPC7;UBE2C;CUL3;NSMCE2;CDC16;CDCA8;BIRC5;ANAPC5;AURKB
GO_Biological_Process_2023,Regulation Of Amyloid Fibril Formation (GO:1905906),11/15,0.0071103872794357,0.045869821116849,0,0,4.34511360702298,21.49179469637397,APP;USP8;VBP1;PFDN1;PFDN2;PSEN1;PFDN4;CLU;LDLR;PFDN5;PFDN6
