group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Top villous SI,Dazap2,91.17758,4.1119747,0.0,0.0,0.985152024631839,0.9055542935029532
Top villous SI,Plpp1,91.150116,2.6742668,0.0,0.0,0.9281301274130492,0.6787255792821445
Top villous SI,Itpk1,91.14817,2.5316098,0.0,0.0,0.9313509024246966,0.769990913221263
Top villous SI,Il15,91.08614,2.0646079,0.0,0.0,0.6574432313083639,0.3429975011358473
Top villous SI,Cndp2,90.957306,12.241737,0.0,0.0,0.9912694715093079,0.9337233075874602
Top villous SI,Cyp2c29,90.85519,5.3960342,0.0,0.0,0.5512386817104543,0.2371649250340754
Top villous SI,Acbd4,90.617714,2.6578581,0.0,0.0,0.9202706261267648,0.6941163107678328
Top villous SI,Tm6sf2,90.577446,3.3400354,0.0,0.0,0.9733020033625701,0.7874261699227624
Top villous SI,Aqp1,90.406654,4.9206862,0.0,0.0,0.893268782790123,0.801879827351204
Top villous SI,Cyb5r3,90.3862,5.026021,0.0,0.0,0.9757732898494946,0.8544127669241254
Top villous SI,Tmem45b,90.35869,3.7966964,0.0,0.0,0.9752061093442989,0.8027885052248978
Top villous SI,Dpep1,90.29191,6.146651,0.0,0.0,0.9815058642412948,0.8428839164016356
Top villous SI,Lrrc8b,90.17332,1.7952437,0.0,0.0,0.7526687868414123,0.4506190368014539
Top villous SI,Rab5c,90.13827,2.4238513,0.0,0.0,0.9350578321550833,0.7578657428441617
Top villous SI,Stx3,90.10196,1.8376658,0.0,0.0,0.8228573743593899,0.5670717855520218
Top villous SI,Slc28a1,90.072754,2.0602665,0.0,0.0,0.8152004375392469,0.5139709223080418
Top villous SI,Retsat,90.04127,2.3005738,0.0,0.0,0.8207304474649058,0.5382496592457974
Top villous SI,Mapk1ip1l,90.02174,2.120597,0.0,0.0,0.8644641157048231,0.6739834166288051
Top villous SI,Cfb,89.980286,2.0391247,0.0,0.0,0.8961046853161019,0.6704338936846888
Top villous SI,Ms4a10,89.863144,7.0265565,0.0,0.0,0.9811209917556263,0.8142037710131759
Top villous SI,Plekha1,89.600075,2.201709,0.0,0.0,0.5945267081248607,0.28021353930031806
Top villous SI,Clcn2,89.4953,1.9622443,0.0,0.0,0.8626815484027792,0.6354781917310314
Top villous SI,Naaladl1,89.49083,5.2713165,0.0,0.0,0.7973139951789657,0.5834279872785098
Top villous SI,Adap1,89.47159,2.0475423,0.0,0.0,0.9118439443352847,0.7051908223534757
Top villous SI,Epb41l4b,89.43045,2.2689776,0.0,0.0,0.9338221889116212,0.7621251703771014
Top villous SI,Pafah1b1,89.419785,1.9788857,0.0,0.0,0.8833836368424252,0.6762551113130395
Top villous SI,Samhd1,89.29501,1.9844142,0.0,0.0,0.7648023983632791,0.4968480236256247
Top villous SI,Tes,89.25085,1.9857672,0.0,0.0,0.8511353738327223,0.6268173557473875
Top villous SI,Copb2,89.180595,2.1863365,0.0,0.0,0.919683189174955,0.7066106315311222
Top villous SI,Mkrn1,89.172935,2.761198,0.0,0.0,0.9474142645897057,0.7921683325761018
Top villous SI,Cat,88.944374,4.5907707,0.0,0.0,0.9810399659691696,0.8211608359836438
Top villous SI,St3gal4,88.9286,17.372953,0.0,0.0,0.9994530759414184,0.9872217174011813
Top villous SI,Entpd8,88.80801,1.9291124,0.0,0.0,0.8422225373225029,0.6185540663334848
Top villous SI,Dsp,88.73902,3.2438364,0.0,0.0,0.9399801486823182,0.8274363925488414
Top villous SI,Mpp1,88.73377,4.8805842,0.0,0.0,0.9870763870601819,0.8258462062698774
